page_id,book_id,catalog_generation,grade,viewer_page,selected_psm,recognized_words,mean_word_confidence,low_confidence_word_rate,ocr_class,front_matter_score,toc_navigation_score,bibliography_credits_score,primary_structure,classification_certainty,classification_rule,evidence_flags,classifier_version
LTMD-CN1-G1972-VP011,LTMD-CN1-G1972,1972,1,11,3,7,59.13,0.5714,text_detected,0,0,0,unknown,low,CONSERVATIVE_UNKNOWN,front_zone,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP012,LTMD-CN1-G1972,1972,1,12,11,12,63.37,0.3333,text_detected,0,0,0,unknown,low,CONSERVATIVE_UNKNOWN,front_zone;fallback_psm,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP013,LTMD-CN1-G1972,1972,1,13,3,1,75.15,0.0000,text_detected,0,0,0,unknown,low,CONSERVATIVE_UNKNOWN,front_zone,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP014,LTMD-CN1-G1972,1972,1,14,3,5,90.89,0.0000,text_detected,0,0,0,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,front_zone,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP015,LTMD-CN1-G1972,1972,1,15,6,53,41.12,0.7736,text_detected,0,0,0,visual_only,medium,OCR_VISUAL_NOISE,front_zone;fallback_psm;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP016,LTMD-CN1-G1972,1972,1,16,11,7,33.07,0.8571,text_detected,0,0,0,visual_only,high,OCR_VISUAL_NOISE,front_zone;fallback_psm;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP017,LTMD-CN1-G1972,1972,1,17,3,1,28.33,1.0000,text_detected,,,,visual_only,medium,OCR_VISUAL_NOISE,visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP018,LTMD-CN1-G1972,1972,1,18,6,14,39.61,0.7857,text_detected,,,,visual_only,medium,OCR_VISUAL_NOISE,fallback_psm;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP019,LTMD-CN1-G1972,1972,1,19,3,12,79.24,0.2500,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP020,LTMD-CN1-G1972,1972,1,20,3,5,92.09,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP021,LTMD-CN1-G1972,1972,1,21,6,9,36.74,0.6667,text_detected,,,,visual_only,medium,OCR_VISUAL_NOISE,fallback_psm;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP022,LTMD-CN1-G1972,1972,1,22,3,6,94.31,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP023,LTMD-CN1-G1972,1972,1,23,3,5,87.62,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP024,LTMD-CN1-G1972,1972,1,24,3,5,95.70,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP025,LTMD-CN1-G1972,1972,1,25,3,9,92.68,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP026,LTMD-CN1-G1972,1972,1,26,3,4,90.01,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP027,LTMD-CN1-G1972,1972,1,27,3,3,92.31,0.0000,text_detected,,,,unknown,low,CONSERVATIVE_UNKNOWN,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP028,LTMD-CN1-G1972,1972,1,28,3,5,92.39,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP029,LTMD-CN1-G1972,1972,1,29,3,12,91.57,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP030,LTMD-CN1-G1972,1972,1,30,3,24,91.60,0.0417,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP031,LTMD-CN1-G1972,1972,1,31,3,25,92.09,0.0000,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP032,LTMD-CN1-G1972,1972,1,32,3,42,85.10,0.1190,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP033,LTMD-CN1-G1972,1972,1,33,6,174,29.08,0.9425,text_detected,,,,visual_only,high,OCR_VISUAL_NOISE,fallback_psm;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP034,LTMD-CN1-G1972,1972,1,34,3,29,72.92,0.2414,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP035,LTMD-CN1-G1972,1972,1,35,3,5,84.34,0.2000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP036,LTMD-CN1-G1972,1972,1,36,3,5,96.61,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP037,LTMD-CN1-G1972,1972,1,37,3,26,87.52,0.0385,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP038,LTMD-CN1-G1972,1972,1,38,3,10,85.28,0.1000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP039,LTMD-CN1-G1972,1972,1,39,6,60,28.44,0.8833,text_detected,,,,visual_only,high,OCR_VISUAL_NOISE,fallback_psm;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP040,LTMD-CN1-G1972,1972,1,40,3,5,90.52,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP041,LTMD-CN1-G1972,1972,1,41,6,28,31.43,0.8929,text_detected,,,,visual_only,high,OCR_VISUAL_NOISE,fallback_psm;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP042,LTMD-CN1-G1972,1972,1,42,3,6,80.11,0.1667,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP043,LTMD-CN1-G1972,1972,1,43,11,25,30.09,0.9200,text_detected,,,,visual_only,high,OCR_VISUAL_NOISE,fallback_psm;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP044,LTMD-CN1-G1972,1972,1,44,3,8,82.09,0.1250,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP045,LTMD-CN1-G1972,1972,1,45,3,11,79.77,0.0909,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP046,LTMD-CN1-G1972,1972,1,46,3,7,81.10,0.1429,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP047,LTMD-CN1-G1972,1972,1,47,3,15,88.02,0.0667,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP048,LTMD-CN1-G1972,1972,1,48,3,12,92.00,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP049,LTMD-CN1-G1972,1972,1,49,3,1,91.86,0.0000,text_detected,,,,unknown,low,CONSERVATIVE_UNKNOWN,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP050,LTMD-CN1-G1972,1972,1,50,3,32,45.31,0.7188,text_detected,,,,unknown,low,CONSERVATIVE_UNKNOWN,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP051,LTMD-CN1-G1972,1972,1,51,3,6,84.39,0.1667,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP052,LTMD-CN1-G1972,1972,1,52,3,27,90.31,0.0000,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP053,LTMD-CN1-G1972,1972,1,53,3,7,83.26,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP054,LTMD-CN1-G1972,1972,1,54,3,18,94.27,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP055,LTMD-CN1-G1972,1972,1,55,3,13,93.64,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP056,LTMD-CN1-G1972,1972,1,56,3,21,62.88,0.3810,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP057,LTMD-CN1-G1972,1972,1,57,3,1,94.61,0.0000,text_detected,,,,unknown,low,CONSERVATIVE_UNKNOWN,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP058,LTMD-CN1-G1972,1972,1,58,3,6,95.10,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP059,LTMD-CN1-G1972,1972,1,59,6,22,43.81,0.8182,text_detected,,,,visual_only,high,OCR_VISUAL_NOISE,fallback_psm;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP060,LTMD-CN1-G1972,1972,1,60,3,1,85.51,0.0000,text_detected,,,,unknown,low,CONSERVATIVE_UNKNOWN,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP061,LTMD-CN1-G1972,1972,1,61,3,12,60.94,0.5000,text_detected,,,,unknown,low,CONSERVATIVE_UNKNOWN,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP062,LTMD-CN1-G1972,1972,1,62,3,6,93.11,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP063,LTMD-CN1-G1972,1972,1,63,3,11,95.14,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP064,LTMD-CN1-G1972,1972,1,64,3,7,90.74,0.1429,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP065,LTMD-CN1-G1972,1972,1,65,6,83,31.33,0.8916,text_detected,,,,visual_only,high,OCR_VISUAL_NOISE,fallback_psm;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP066,LTMD-CN1-G1972,1972,1,66,6,67,34.19,0.8507,text_detected,,,,visual_only,high,OCR_VISUAL_NOISE,fallback_psm;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP067,LTMD-CN1-G1972,1972,1,67,6,38,40.35,0.7632,text_detected,,,,visual_only,medium,OCR_VISUAL_NOISE,fallback_psm;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP068,LTMD-CN1-G1972,1972,1,68,3,26,82.48,0.1538,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP069,LTMD-CN1-G1972,1972,1,69,3,47,81.88,0.1489,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP070,LTMD-CN1-G1972,1972,1,70,3,4,95.99,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP071,LTMD-CN1-G1972,1972,1,71,3,14,90.50,0.0714,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP072,LTMD-CN1-G1972,1972,1,72,3,9,90.93,0.1111,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP073,LTMD-CN1-G1972,1972,1,73,3,10,92.08,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP074,LTMD-CN1-G1972,1972,1,74,6,48,40.03,0.7500,text_detected,,,,visual_only,medium,OCR_VISUAL_NOISE,fallback_psm;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP075,LTMD-CN1-G1972,1972,1,75,6,73,33.29,0.8356,text_detected,,,,visual_only,high,OCR_VISUAL_NOISE,fallback_psm;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP076,LTMD-CN1-G1972,1972,1,76,3,23,92.63,0.0435,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP077,LTMD-CN1-G1972,1972,1,77,3,12,95.36,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP078,LTMD-CN1-G1972,1972,1,78,3,4,92.92,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP079,LTMD-CN1-G1972,1972,1,79,3,28,83.10,0.1786,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP080,LTMD-CN1-G1972,1972,1,80,3,33,86.83,0.1515,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP081,LTMD-CN1-G1972,1972,1,81,3,24,91.02,0.0833,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP082,LTMD-CN1-G1972,1972,1,82,3,26,91.19,0.0769,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP083,LTMD-CN1-G1972,1972,1,83,3,23,92.65,0.0435,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,end_zone;text_present,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP084,LTMD-CN1-G1972,1972,1,84,3,15,82.64,0.2000,text_detected,0,0,0,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,end_zone,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP085,LTMD-CN1-G1972,1972,1,85,3,12,93.71,0.0000,text_detected,0,0,0,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,end_zone,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP086,LTMD-CN1-G1972,1972,1,86,3,6,92.03,0.0000,text_detected,0,0,0,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,end_zone,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP087,LTMD-CN1-G1972,1972,1,87,3,13,88.62,0.0769,text_detected,0,0,0,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,end_zone,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP088,LTMD-CN1-G1972,1972,1,88,3,11,95.10,0.0000,text_detected,0,0,0,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,end_zone,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP089,LTMD-CN1-G1972,1972,1,89,6,66,23.18,0.9697,text_detected,0,0,0,visual_only,high,OCR_VISUAL_NOISE,end_zone;fallback_psm;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP090,LTMD-CN1-G1972,1972,1,90,3,19,70.87,0.2632,text_detected,0,0,0,unknown,low,CONSERVATIVE_UNKNOWN,end_zone,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP091,LTMD-CN1-G1972,1972,1,91,6,27,31.54,0.8519,text_detected,0,0,0,visual_only,high,OCR_VISUAL_NOISE,end_zone;fallback_psm;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP092,LTMD-CN1-G1972,1972,1,92,3,16,57.69,0.5000,text_detected,0,0,0,unknown,low,CONSERVATIVE_UNKNOWN,end_zone,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP093,LTMD-CN1-G1972,1972,1,93,3,1,93.56,0.0000,text_detected,0,0,0,unknown,low,CONSERVATIVE_UNKNOWN,end_zone,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP094,LTMD-CN1-G1972,1972,1,94,3,262,88.12,0.0649,text_detected,0,0,1,bibliography_or_credits,medium,KW_BIBLIO_CREDITS,end_zone;text_rich;biblio_credit_kw,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP095,LTMD-CN1-G1972,1972,1,95,3,201,85.77,0.0995,text_detected,0,1,0,textual,high,OCR_TEXT_RICH,end_zone;text_rich;nav_kw,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP096,LTMD-CN1-G1972,1972,1,96,3,55,88.61,0.0545,text_detected,0,0,1,bibliography_or_credits,medium,KW_BIBLIO_CREDITS,end_zone;text_present;biblio_credit_kw,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP097,LTMD-CN1-G1972,1972,1,97,3,143,81.02,0.1399,text_detected,0,0,0,textual,high,OCR_TEXT_RICH,end_zone;text_rich,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN1-G1972-VP098,LTMD-CN1-G1972,1972,1,98,3,4,96.56,0.0000,text_detected,0,0,1,bibliography_or_credits,medium,KW_BIBLIO_CREDITS,end_zone;biblio_credit_kw,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN2-G1972-VP001,LTMD-CN2-G1972,1972,2,1,11,20,41.98,0.7000,text_detected,0,0,0,visual_only,medium,OCR_VISUAL_NOISE,front_zone;fallback_psm;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN2-G1972-VP002,LTMD-CN2-G1972,1972,2,2,3,271,92.11,0.0295,text_detected,0,0,0,textual,high,OCR_TEXT_RICH,front_zone;text_rich,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN2-G1972-VP003,LTMD-CN2-G1972,1972,2,3,3,24,74.37,0.2083,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,front_zone;text_present,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN2-G1972-VP004,LTMD-CN2-G1972,1972,2,4,,2,11.36,1.0000,no_text_detected,0,0,0,visual_only,high,OCR_VISUAL_NOISE,front_zone;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN2-G1972-VP005,LTMD-CN2-G1972,1972,2,5,3,5,85.50,0.2000,text_detected,0,0,0,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,front_zone,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN2-G1972-VP006,LTMD-CN2-G1972,1972,2,6,6,94,33.86,0.9149,text_detected,0,0,0,visual_only,high,OCR_VISUAL_NOISE,front_zone;fallback_psm;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN2-G1972-VP007,LTMD-CN2-G1972,1972,2,7,3,1,42.98,1.0000,text_detected,0,0,0,visual_only,medium,OCR_VISUAL_NOISE,front_zone;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN2-G1972-VP008,LTMD-CN2-G1972,1972,2,8,11,106,31.03,0.8868,text_detected,0,0,0,visual_only,high,OCR_VISUAL_NOISE,front_zone;fallback_psm;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN2-G1972-VP009,LTMD-CN2-G1972,1972,2,9,6,102,25.54,0.9412,text_detected,0,0,0,visual_only,high,OCR_VISUAL_NOISE,front_zone;fallback_psm;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN2-G1972-VP010,LTMD-CN2-G1972,1972,2,10,3,12,95.84,0.0000,text_detected,0,0,0,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,front_zone,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN2-G1972-VP011,LTMD-CN2-G1972,1972,2,11,3,15,95.43,0.0000,text_detected,0,0,0,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,front_zone,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN2-G1972-VP012,LTMD-CN2-G1972,1972,2,12,3,2,62.21,0.5000,text_detected,0,0,0,unknown,low,CONSERVATIVE_UNKNOWN,front_zone,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN2-G1972-VP013,LTMD-CN2-G1972,1972,2,13,6,52,39.98,0.8462,text_detected,0,0,0,visual_only,high,OCR_VISUAL_NOISE,front_zone;fallback_psm;visual_noise,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN2-G1972-VP014,LTMD-CN2-G1972,1972,2,14,3,5,89.40,0.0000,text_detected,0,0,0,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,front_zone,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN2-G1972-VP015,LTMD-CN2-G1972,1972,2,15,3,17,84.23,0.1176,text_detected,0,0,0,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,front_zone,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN2-G1972-VP016,LTMD-CN2-G1972,1972,2,16,3,36,91.01,0.0278,text_detected,0,0,0,mixed_text_image,medium,OCR_MODERATE_TEXT,front_zone;text_present,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN2-G1972-VP017,LTMD-CN2-G1972,1972,2,17,3,42,68.59,0.3095,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN2-G1972-VP018,LTMD-CN2-G1972,1972,2,18,3,15,83.09,0.1333,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN2-G1972-VP019,LTMD-CN2-G1972,1972,2,19,3,47,91.25,0.0638,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN2-G1972-VP020,LTMD-CN2-G1972,1972,2,20,3,2,90.95,0.0000,text_detected,,,,unknown,low,CONSERVATIVE_UNKNOWN,,PAGESTRUCT_CN_WAVE2_0.1
LTMD-CN2-G1972-VP021,LTMD-CN2-G1972,1972,2,21,3,14,78.17,0.2143,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_CN_WAVE2_0.1
