fragment_id,page_id,catalog_generation,type_A,action_observe,action_describe,action_recall,action_explain,action_compare,action_classify,action_measure,action_experiment,action_investigate,action_predict,action_infer,action_discuss,action_solve,action_create,action_decide,action_act_on_environment,position_receiver,position_instruction_follower,position_observer,position_experimenter,position_investigator,position_reasoner,position_collaborator,position_decision_maker,position_community_agent,evidence_count_A,uncertain_A,ruleset_version,text_sha256
LTMD-CN5-G1972-VP011-F004,LTMD-CN5-G1972-VP011,1972,question,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,746205cea58d44398406ceb3c61d6966adfde6f01648a3016f9e829694244747
LTMD-CN5-G1972-VP011-F005,LTMD-CN5-G1972-VP011,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,c2bd1aec42cf7303513c0d878e5e68c02e07766e8d5b96491f28cacf94305efa
LTMD-CN5-G1972-VP011-F006,LTMD-CN5-G1972-VP011,1972,expository,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,856f39d52b57c2bb050e620d5b5c09c47a108963dff3a806f3efcada846a71b6
LTMD-CN5-G1972-VP011-F007,LTMD-CN5-G1972-VP011,1972,instruction,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,RULEA_0.1,cce47bcf2b4b8b5f05ac75a920e2058e84e822d17c770c12cac3e434edd4b9e1
LTMD-CN5-G1972-VP011-F008,LTMD-CN5-G1972-VP011,1972,question,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,0775b95d8c3142fefb3acc8e374bf1dc7b1f42058e7ec920605cc18856ae8a0b
LTMD-CN5-G1972-VP011-F009,LTMD-CN5-G1972-VP011,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,3d133cf45da1b8d617dc3aaf7ab0956eb04575094ec484ba4186f6e9646834a6
LTMD-CN5-G1972-VP011-F010,LTMD-CN5-G1972-VP011,1972,instruction,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,RULEA_0.1,0ef0e0253d03dd1781fb91bdee83e68ab74d01cdbf4d6d489c97cce5c08f7315
LTMD-CN5-G1972-VP011-F011,LTMD-CN5-G1972-VP011,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,2ca7289b5248632c8fe5386b972e8fde6585068c5cb8e2948489e10e7be6d4d8
LTMD-CN5-G1972-VP013-F001,LTMD-CN5-G1972-VP013,1972,question,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,RULEA_0.1,5c25c5e3cd372e36cca847669f8f225bc2289411ef029239e8143f1423f615e7
LTMD-CN5-G1972-VP013-F002,LTMD-CN5-G1972-VP013,1972,question,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,RULEA_0.1,b2c19b4ae360a3f53b9eb27c6b1470f43908975eedeb3ccd4428cac10e78d833
LTMD-CN5-G1972-VP013-F003,LTMD-CN5-G1972-VP013,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,RULEA_0.1,3fdba35f04dc8c462986c992bcf875546257113072a909c162f7e470e581e278
LTMD-CN5-G1972-VP014-F001,LTMD-CN5-G1972-VP014,1972,question,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,22c69a01d93455f7eb1d097dbde85c27029761f45151e3af95407f5af6317990
LTMD-CN5-G1972-VP014-F002,LTMD-CN5-G1972-VP014,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,RULEA_0.1,fe126e2994a38912b20212ed1e803da66071896491d6e50ae4a87ad7583071a7
LTMD-CN5-G1972-VP014-F003,LTMD-CN5-G1972-VP014,1972,expository,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,dc45a49f2cf1ba1e450255077a56ed7d6b6f1797bc2f6b833e08b310d87f4e47
LTMD-CN5-G1972-VP014-F004,LTMD-CN5-G1972-VP014,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,RULEA_0.1,e88cf0c158e33e21f12563f3e5b3b39fc42336c55e76d3ed135c2f8c7ccd7a8d
LTMD-CN5-G1972-VP014-F005,LTMD-CN5-G1972-VP014,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,RULEA_0.1,463b2444ae54d9623602456ea8bc18dcda1368698eea0f394e92e7d97d49d429
LTMD-CN5-G1972-VP014-F006,LTMD-CN5-G1972-VP014,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,RULEA_0.1,2779235d3573fdd8c792db65332c573ba8fcb714866a1c2df9daf85874245900
LTMD-CN5-G1972-VP014-F007,LTMD-CN5-G1972-VP014,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,6412f19d254bb2330dacea47ea3253c2579967758ec4f78e2ffcca9988116cd2
LTMD-CN5-G1972-VP014-F008,LTMD-CN5-G1972-VP014,1972,expository,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,ab6419c01da31de8c29999bbf73db2ced47db141383baab310c9e6ff99ed7192
LTMD-CN5-G1972-VP014-F009,LTMD-CN5-G1972-VP014,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61
LTMD-CN5-G1972-VP015-F001,LTMD-CN5-G1972-VP015,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,RULEA_0.1,5cfec055b904507ecc55db1551dd32ded70e537f9794f9ebff2fa92bb9091241
LTMD-CN5-G1972-VP015-F002,LTMD-CN5-G1972-VP015,1972,expository,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,61557b0c0343e4247b4e1089842f55e74a6ba94eb03d51fef69858823f5a0900
LTMD-CN5-G1972-VP015-F003,LTMD-CN5-G1972-VP015,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,6180669a9fb9d0e8d30055aa57b3ba6c43646a98d88caf1b2f906b8119f7a55b
LTMD-CN5-G1972-VP016-F001,LTMD-CN5-G1972-VP016,1972,question,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,RULEA_0.1,2824097d7de41a5f304d437a65f3eedf92e65a4b3a02cf44bbaa573155b07e86
LTMD-CN5-G1972-VP016-F002,LTMD-CN5-G1972-VP016,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,RULEA_0.1,69c0e20554c2ff281201c0b685d389a2cac34c19cfb8c907f62354b8decf1a10
LTMD-CN5-G1972-VP016-F003,LTMD-CN5-G1972-VP016,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,RULEA_0.1,30cfe5f13fbe4e9aed7586b4c545514c15099d95cb123f43f4dd6ec431e36799
LTMD-CN5-G1972-VP016-F004,LTMD-CN5-G1972-VP016,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,RULEA_0.1,1aa2c87b2573f29e2564935429aaae7b16a6bbbfd5d4716c43513fe2df3dbce0
LTMD-CN5-G1972-VP016-F005,LTMD-CN5-G1972-VP016,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,RULEA_0.1,3fd856efcfbc6911586e13ce63814e213e19b1e26faeb122c29cf3316c2aae7a
LTMD-CN5-G1972-VP016-F006,LTMD-CN5-G1972-VP016,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,b17ef6d19c7a5b1ee83b907c595526dcb1eb06db8227d650d5dda0a9f4ce8cd9
LTMD-CN5-G1972-VP017-F001,LTMD-CN5-G1972-VP017,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,RULEA_0.1,391261b1baa66f1dde8b4d1bbbf9c638a37d5ce0a4530d4111c968d90759d281
LTMD-CN5-G1972-VP017-F002,LTMD-CN5-G1972-VP017,1972,question,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,RULEA_0.1,fe27c27d73cf5df75eba88861c7cb793dbae550492c16f30a8f3b8f71cac43cf
LTMD-CN5-G1972-VP018-F001,LTMD-CN5-G1972-VP018,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,RULEA_0.1,c1b6be3f5077c046c100a0bf432b3cca8aeb8cd1248c92ca181782723741121e
LTMD-CN5-G1972-VP018-F002,LTMD-CN5-G1972-VP018,1972,expository,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,3a8d0fc92d18baad76bb98034c1218597fa943fd9fbfb17ab4942e1448a251c8
LTMD-CN5-G1972-VP018-F003,LTMD-CN5-G1972-VP018,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,RULEA_0.1,9dce5a440241eb60f1d1c2355f68295f9ffa5afc30e9a5e92f6aa73ce9876ab6
LTMD-CN5-G1972-VP018-F004,LTMD-CN5-G1972-VP018,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,9b00525cde1e5617cf344d9f22ed287994b119f3a33ad4f9432092f37ea3c9b3
LTMD-CN5-G1972-VP018-F005,LTMD-CN5-G1972-VP018,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,8636fdbe0e1d26d0d93c6770dec2b388a52400f2a1db2d9ddb4597b8be91cf9a
LTMD-CN5-G1972-VP018-F006,LTMD-CN5-G1972-VP018,1972,instruction,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,RULEA_0.1,dd33c591db2427cb6d56b9f2f61ce95209d3ee6388bcd6e9d62e5ea207bec527
LTMD-CN5-G1972-VP018-F007,LTMD-CN5-G1972-VP018,1972,expository,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,91848972c27c230ac578fc8ef59419bf9cbb13ad5bd75806a08bafd03150c644
LTMD-CN5-G1972-VP018-F008,LTMD-CN5-G1972-VP018,1972,question,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,33af18429ef6be598d8eaf75285f03a2ffc2eed6ad5d540a5ce4ee304901fad3
LTMD-CN5-G1972-VP018-F009,LTMD-CN5-G1972-VP018,1972,question,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,19d500f0bd350939e5537ab97de96d0d374287d352d56cd939b5870f206d90a3
LTMD-CN5-G1972-VP019-F001,LTMD-CN5-G1972-VP019,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,RULEA_0.1,ccf2b8681a879539a8315cc5d553b079ab2f2b5e47ef03bfb67261e485fbec40
LTMD-CN5-G1972-VP019-F002,LTMD-CN5-G1972-VP019,1972,question,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,48545813814c1f39f36c859e24e6e079b763263bb6cf5ecbe90bda73f61f24a9
LTMD-CN5-G1972-VP019-F003,LTMD-CN5-G1972-VP019,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,447efd6438755da1e30f9805d6d8cb658792d3f9d2d4c97ce3a94d6862dae0f3
LTMD-CN5-G1972-VP019-F004,LTMD-CN5-G1972-VP019,1972,question,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,RULEA_0.1,78bd6b581395936d16af0e4acb6b2519d4d11217b20e27af343e471338b239e2
LTMD-CN5-G1972-VP019-F005,LTMD-CN5-G1972-VP019,1972,question,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,d4207aa2163aea25425052f6417c6a070a9ceef4d06deba73e6b61c2cfd14876
LTMD-CN5-G1972-VP019-F006,LTMD-CN5-G1972-VP019,1972,question,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,5621185995b12546afe17942e6729b0b20a2868b46950d5c4617a940f704fbde
LTMD-CN5-G1972-VP019-F007,LTMD-CN5-G1972-VP019,1972,question,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,3350ab60ed6c86cb23a86f24562cc8613e0ebfbadc3357e179adf3b8c14d4e63
LTMD-CN5-G1972-VP019-F008,LTMD-CN5-G1972-VP019,1972,question,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,29e0608a494db3379720f9d4afd584266a7defdc9ad50a754d63b81a454faebc
LTMD-CN5-G1972-VP019-F009,LTMD-CN5-G1972-VP019,1972,question,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,6dbbfbab44f4f7478992b89506620c6665c08d8d3aad530b1f1a0982d2bbd5d3
LTMD-CN5-G1972-VP019-F010,LTMD-CN5-G1972-VP019,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,edbd5f07f4bfc7ef814c5e2fc8dda5cc1b1895e6e228d0783465ac481c510436
LTMD-CN5-G1972-VP019-F011,LTMD-CN5-G1972-VP019,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,33ea8ba4af23239c6ce9159119601754d9d9b047f8c60ba29d6bc1247d28116d
LTMD-CN5-G1972-VP019-F012,LTMD-CN5-G1972-VP019,1972,expository,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,77b9d03f90fb1611a48c975f382350cf87d9bc2fb320a2711aaf167466c746c2
LTMD-CN5-G1972-VP019-F013,LTMD-CN5-G1972-VP019,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,aeffd9d95f145b9d8ee5f288835b0e1cd91268a393a69e263609c9f846f047c8
LTMD-CN5-G1972-VP019-F014,LTMD-CN5-G1972-VP019,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,9400f1b21cb527d7fa3d3eabba93557a18ebe7a2ca4e471cfe5e4c5b4ca7f767
LTMD-CN5-G1972-VP020-F001,LTMD-CN5-G1972-VP020,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,RULEA_0.1,499ca87686c40b963a7ec3e69cc7524c908b16233b8a630099d15a256bd773d1
LTMD-CN5-G1972-VP020-F002,LTMD-CN5-G1972-VP020,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,RULEA_0.1,867fd9410195d38906036d0dc7f669d07dff109c8ba22b5f6c150102c4761d3f
LTMD-CN5-G1972-VP020-F003,LTMD-CN5-G1972-VP020,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,RULEA_0.1,6c372b4581b2d9b95deb1041452b5e1e2010e460e2710fa41d28e6971d021765
LTMD-CN5-G1972-VP021-F001,LTMD-CN5-G1972-VP021,1972,question,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,RULEA_0.1,02530b5228de7439e6b740b113fc10f69a528d032a48e008e16ba0ff6d4e339a
LTMD-CN5-G1972-VP021-F002,LTMD-CN5-G1972-VP021,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,RULEA_0.1,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35
LTMD-CN5-G1972-VP022-F001,LTMD-CN5-G1972-VP022,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,f135ede2307ed93c9f519b70181f1e403ab2eff0e5d06f4be0e78abc35a04e18
LTMD-CN5-G1972-VP022-F002,LTMD-CN5-G1972-VP022,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,RULEA_0.1,ba17fb1334daf8cc1391c8cba960dc6830862ac58502e342efd14db9a14e694c
LTMD-CN5-G1972-VP022-F003,LTMD-CN5-G1972-VP022,1972,expository,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,ed739bc5b6b49e474bf8d82d8c0907f1cadeda2792c2b31e2e919a07f56d2a49
LTMD-CN5-G1972-VP022-F004,LTMD-CN5-G1972-VP022,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,RULEA_0.1,92431c4f33b83bba9a41d02f57c61dc79771a8fae13b319cd93e912132f10529
LTMD-CN5-G1972-VP022-F005,LTMD-CN5-G1972-VP022,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,785f3ec7eb32f30b90cd0fcf3657d388b5ff4297f2f9716ff66e9b69c05ddd09
LTMD-CN5-G1972-VP022-F006,LTMD-CN5-G1972-VP022,1972,expository,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,a50080fc885604a783e593de663fea36d73b5d0e0a0844cf0553a3e4e259eb86
LTMD-CN5-G1972-VP022-F007,LTMD-CN5-G1972-VP022,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,76b925d9bdf78650a3f58002eb74f207a865e014efdd216cc365290ff1e37c13
LTMD-CN5-G1972-VP022-F008,LTMD-CN5-G1972-VP022,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,RULEA_0.1,f5db446b818c76b0490aeb548fc8f7202293f177301d1ec5e7612dee6d54ef46
LTMD-CN5-G1972-VP022-F009,LTMD-CN5-G1972-VP022,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,da83b859febb431aa7c5fca714fee0b29a3eba0be812af3149f0ca08cd5984bf
LTMD-CN5-G1972-VP022-F010,LTMD-CN5-G1972-VP022,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,776269009cdcec0ce2b02e64af928401519e97e62fcb8db0dc234832c98fff8b
LTMD-CN5-G1972-VP023-F001,LTMD-CN5-G1972-VP023,1972,expository,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,7f1301a5087311a575f4d4c7d08645828641c064fd96c81fbaa224765a3d81b3
LTMD-CN5-G1972-VP023-F002,LTMD-CN5-G1972-VP023,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,5d24a3e353a6e3630390fb47a60143e14d926d49a23e869a147370e69fab8dcf
LTMD-CN5-G1972-VP023-F003,LTMD-CN5-G1972-VP023,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,64fdb69fe28fc7d8ff5aa92bb12537f5a203df65a4be6fb439b413b5b68231a1
LTMD-CN5-G1972-VP023-F004,LTMD-CN5-G1972-VP023,1972,instruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,RULEA_0.1,b5f4474514c421320c72cbfd3968cf36ae40fa69a69449a17a6ebce1ba0dad2a
LTMD-CN5-G1972-VP023-F005,LTMD-CN5-G1972-VP023,1972,expository,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,2065ce5077211956b158389f12f42cb0b3c6dcd9730206c672ed38da423e16a3
LTMD-CN5-G1972-VP023-F006,LTMD-CN5-G1972-VP023,1972,heading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RULEA_0.1,3bdf439a6de4eef8835ecaadcb0c73b93a78f9fa23efb1431bf68615c9a55ed6
