fragment_id,page_id,catalog_generation,candidate_type,source_structure_class,action_jaccard,position_jaccard,action_exact_set,position_exact_set,action_empty_both,position_empty_both,action_size_A,action_size_B,position_size_A,position_size_B,uncertain_A,uncertain_B,stability_stratum,agreement_version
LTMD-CN5-G1972-VP016-F001,LTMD-CN5-G1972-VP016,1972,question_candidate,mixed_text_image,0.5,0.0,0,0,0,0,1,2,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP016-F002,LTMD-CN5-G1972-VP016,1972,instruction_candidate,mixed_text_image,0.0,0.0,0,0,0,0,1,0,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP016-F003,LTMD-CN5-G1972-VP016,1972,instruction_candidate,mixed_text_image,0.0,0.0,0,0,0,0,0,1,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP016-F004,LTMD-CN5-G1972-VP016,1972,instruction_candidate,mixed_text_image,0.0,0.0,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP016-F005,LTMD-CN5-G1972-VP016,1972,instruction_candidate,mixed_text_image,0.0,0.0,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP016-F006,LTMD-CN5-G1972-VP016,1972,heading_candidate,mixed_text_image,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP017-F001,LTMD-CN5-G1972-VP017,1972,instruction_candidate,mixed_text_image,1.0,0.0,1,0,1,0,0,0,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP017-F002,LTMD-CN5-G1972-VP017,1972,question_candidate,mixed_text_image,0.0,0.0,0,0,0,0,1,0,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP018-F001,LTMD-CN5-G1972-VP018,1972,instruction_candidate,textual,1.0,0.0,1,0,1,0,0,0,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP018-F002,LTMD-CN5-G1972-VP018,1972,expository_candidate,textual,1.0,0.0,1,0,1,0,0,0,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP018-F003,LTMD-CN5-G1972-VP018,1972,instruction_candidate,textual,1.0,0.0,1,0,1,0,0,0,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP018-F004,LTMD-CN5-G1972-VP018,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP018-F005,LTMD-CN5-G1972-VP018,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP018-F006,LTMD-CN5-G1972-VP018,1972,instruction_candidate,textual,0.5,0.5,0,0,0,0,1,2,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP018-F007,LTMD-CN5-G1972-VP018,1972,expository_candidate,textual,1.0,0.5,1,0,1,0,0,0,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP018-F008,LTMD-CN5-G1972-VP018,1972,question_candidate,textual,1.0,0.0,1,0,1,0,0,0,0,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP018-F009,LTMD-CN5-G1972-VP018,1972,question_candidate,textual,0.0,0.0,0,0,0,0,0,1,0,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP019-F001,LTMD-CN5-G1972-VP019,1972,instruction_candidate,mixed_text_image,1.0,0.0,1,0,1,0,0,0,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP019-F002,LTMD-CN5-G1972-VP019,1972,question_candidate,mixed_text_image,0.0,0.0,0,0,0,0,0,2,0,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP019-F003,LTMD-CN5-G1972-VP019,1972,heading_candidate,mixed_text_image,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP019-F004,LTMD-CN5-G1972-VP019,1972,question_candidate,mixed_text_image,1.0,0.0,1,0,0,0,1,1,1,1,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP019-F005,LTMD-CN5-G1972-VP019,1972,question_candidate,mixed_text_image,0.0,0.0,0,0,0,0,0,3,0,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP019-F006,LTMD-CN5-G1972-VP019,1972,question_candidate,mixed_text_image,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP019-F007,LTMD-CN5-G1972-VP019,1972,question_candidate,mixed_text_image,0.0,0.0,0,0,0,0,0,3,0,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP019-F008,LTMD-CN5-G1972-VP019,1972,question_candidate,mixed_text_image,0.0,0.0,0,0,0,0,0,3,0,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP019-F009,LTMD-CN5-G1972-VP019,1972,question_candidate,mixed_text_image,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP019-F010,LTMD-CN5-G1972-VP019,1972,heading_candidate,mixed_text_image,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP019-F011,LTMD-CN5-G1972-VP019,1972,heading_candidate,mixed_text_image,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP019-F012,LTMD-CN5-G1972-VP019,1972,expository_candidate,mixed_text_image,1.0,0.0,1,0,1,0,0,0,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP019-F013,LTMD-CN5-G1972-VP019,1972,heading_candidate,mixed_text_image,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP019-F014,LTMD-CN5-G1972-VP019,1972,heading_candidate,mixed_text_image,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP020-F001,LTMD-CN5-G1972-VP020,1972,instruction_candidate,mixed_text_image,1.0,0.0,1,0,1,0,0,0,1,2,1,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP020-F002,LTMD-CN5-G1972-VP020,1972,heading_candidate,mixed_text_image,1.0,1.0,1,1,1,1,0,0,0,0,1,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP020-F003,LTMD-CN5-G1972-VP020,1972,heading_candidate,mixed_text_image,1.0,1.0,1,1,1,1,0,0,0,0,1,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP021-F001,LTMD-CN5-G1972-VP021,1972,question_candidate,mixed_text_image,1.0,0.0,1,0,1,0,0,0,0,2,1,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP021-F002,LTMD-CN5-G1972-VP021,1972,heading_candidate,mixed_text_image,1.0,1.0,1,1,1,1,0,0,0,0,1,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP022-F001,LTMD-CN5-G1972-VP022,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP022-F002,LTMD-CN5-G1972-VP022,1972,instruction_candidate,textual,0.0,0.5,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP022-F003,LTMD-CN5-G1972-VP022,1972,expository_candidate,textual,1.0,0.0,1,0,1,0,0,0,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP022-F004,LTMD-CN5-G1972-VP022,1972,instruction_candidate,textual,1.0,0.5,1,0,1,0,0,0,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP022-F005,LTMD-CN5-G1972-VP022,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP022-F006,LTMD-CN5-G1972-VP022,1972,expository_candidate,textual,1.0,0.5,1,0,1,0,0,0,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP022-F007,LTMD-CN5-G1972-VP022,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP022-F008,LTMD-CN5-G1972-VP022,1972,instruction_candidate,textual,0.0,0.0,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP022-F009,LTMD-CN5-G1972-VP022,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP022-F010,LTMD-CN5-G1972-VP022,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP023-F001,LTMD-CN5-G1972-VP023,1972,expository_candidate,textual,0.0,0.0,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP023-F002,LTMD-CN5-G1972-VP023,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP023-F003,LTMD-CN5-G1972-VP023,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP023-F004,LTMD-CN5-G1972-VP023,1972,instruction_candidate,textual,0.0,0.0,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP023-F005,LTMD-CN5-G1972-VP023,1972,expository_candidate,textual,0.0,0.0,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP023-F006,LTMD-CN5-G1972-VP023,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP023-F007,LTMD-CN5-G1972-VP023,1972,question_candidate,textual,0.0,0.0,0,0,0,0,1,3,0,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP023-F008,LTMD-CN5-G1972-VP023,1972,question_candidate,textual,1.0,0.0,1,0,1,0,0,0,0,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP023-F009,LTMD-CN5-G1972-VP023,1972,instruction_candidate,textual,1.0,0.0,1,0,1,0,0,0,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP023-F010,LTMD-CN5-G1972-VP023,1972,expository_candidate,textual,1.0,0.0,1,0,1,0,0,0,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP023-F011,LTMD-CN5-G1972-VP023,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP023-F012,LTMD-CN5-G1972-VP023,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP023-F013,LTMD-CN5-G1972-VP023,1972,question_candidate,textual,1.0,0.0,1,0,1,0,0,0,0,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP023-F014,LTMD-CN5-G1972-VP023,1972,question_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP023-F015,LTMD-CN5-G1972-VP023,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP024-F001,LTMD-CN5-G1972-VP024,1972,question_candidate,textual,0.0,0.0,0,0,0,0,0,3,0,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP024-F002,LTMD-CN5-G1972-VP024,1972,instruction_candidate,textual,1.0,0.0,1,0,1,0,0,0,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP024-F003,LTMD-CN5-G1972-VP024,1972,question_candidate,textual,0.0,0.0,0,0,0,0,0,1,0,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP024-F004,LTMD-CN5-G1972-VP024,1972,question_candidate,textual,0.0,0.0,0,0,0,0,0,2,0,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP024-F005,LTMD-CN5-G1972-VP024,1972,expository_candidate,textual,1.0,0.0,1,0,1,0,0,0,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP024-F006,LTMD-CN5-G1972-VP024,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP024-F007,LTMD-CN5-G1972-VP024,1972,instruction_candidate,textual,0.0,0.0,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP024-F008,LTMD-CN5-G1972-VP024,1972,question_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP024-F009,LTMD-CN5-G1972-VP024,1972,question_candidate,textual,0.0,0.0,0,0,0,0,0,3,0,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP024-F010,LTMD-CN5-G1972-VP024,1972,question_candidate,textual,1.0,0.0,1,0,1,0,0,0,0,1,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP024-F011,LTMD-CN5-G1972-VP024,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP025-F001,LTMD-CN5-G1972-VP025,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP025-F002,LTMD-CN5-G1972-VP025,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP025-F003,LTMD-CN5-G1972-VP025,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP025-F004,LTMD-CN5-G1972-VP025,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP025-F005,LTMD-CN5-G1972-VP025,1972,expository_candidate,textual,0.0,0.0,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP025-F006,LTMD-CN5-G1972-VP025,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP025-F007,LTMD-CN5-G1972-VP025,1972,instruction_candidate,textual,1.0,0.5,1,0,1,0,0,0,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP025-F008,LTMD-CN5-G1972-VP025,1972,instruction_candidate,textual,1.0,0.0,1,0,1,0,0,0,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP025-F009,LTMD-CN5-G1972-VP025,1972,question_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP025-F010,LTMD-CN5-G1972-VP025,1972,question_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP025-F011,LTMD-CN5-G1972-VP025,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP025-F012,LTMD-CN5-G1972-VP025,1972,expository_candidate,textual,0.0,0.0,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP025-F013,LTMD-CN5-G1972-VP025,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP026-F001,LTMD-CN5-G1972-VP026,1972,heading_candidate,mixed_text_image,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP026-F002,LTMD-CN5-G1972-VP026,1972,instruction_candidate,mixed_text_image,0.0,0.0,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP026-F003,LTMD-CN5-G1972-VP026,1972,question_candidate,mixed_text_image,0.0,0.0,0,0,0,0,1,0,0,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP026-F004,LTMD-CN5-G1972-VP026,1972,question_candidate,mixed_text_image,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP026-F005,LTMD-CN5-G1972-VP026,1972,question_candidate,mixed_text_image,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP026-F006,LTMD-CN5-G1972-VP026,1972,question_candidate,mixed_text_image,1.0,0.0,1,0,1,0,0,0,0,1,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP031-F001,LTMD-CN5-G1972-VP031,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP031-F002,LTMD-CN5-G1972-VP031,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP031-F003,LTMD-CN5-G1972-VP031,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP031-F004,LTMD-CN5-G1972-VP031,1972,heading_candidate,textual,1.0,1.0,1,1,1,1,0,0,0,0,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP031-F005,LTMD-CN5-G1972-VP031,1972,instruction_candidate,textual,0.0,0.0,0,0,0,0,0,1,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP031-F006,LTMD-CN5-G1972-VP031,1972,experiment_candidate,textual,0.0,0.0,0,0,0,0,0,3,0,2,0,0,method_sensitive,AGREE_AB_0.1
LTMD-CN5-G1972-VP031-F007,LTMD-CN5-G1972-VP031,1972,instruction_candidate,textual,0.0,0.5,0,0,0,0,1,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP031-F008,LTMD-CN5-G1972-VP031,1972,instruction_candidate,textual,0.0,0.0,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP031-F009,LTMD-CN5-G1972-VP031,1972,expository_candidate,textual,0.0,0.0,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP031-F010,LTMD-CN5-G1972-VP031,1972,instruction_candidate,textual,0.0,0.0,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP031-F011,LTMD-CN5-G1972-VP031,1972,instruction_candidate,textual,0.0,0.0,0,0,0,0,0,3,1,2,0,1,uncertain,AGREE_AB_0.1
LTMD-CN5-G1972-VP031-F012,LTMD-CN5-G1972-VP031,1972,expository_candidate,textual,0.0,0.0,0,0,0,0,0,2,1,2,0,1,uncertain,AGREE_AB_0.1
